NewRequestIntent i need {help using the bathroom|Request}
NewRequestIntent i need {more water|Request}
NewRequestIntent can you {help me use the bathroom|Request}
NewRequestIntent can you {get me more water|Request}
NewRequestIntent {help me use the bathroom|Request}
NewRequestIntent {get me more water|Request}

MainMenuIntent main menu
MainMenuIntent menu

UrgentIntent urgent

ScheduleIntent scheduling

RequestIntent inventory

HelpIntent help

EmergencyIntent emergency

NextIntent next

PreviousIntent last
PreviousIntent previous

StartOverIntent start over
